iter	Passed	Remaining
0	162	35525
1	359	39234
2	468	33910
3	630	34034
4	703	30245
5	816	29138
6	925	28161
7	1152	30537
8	1298	30442
9	1421	29856
10	1554	29529
11	1775	30774
12	1903	30301
13	2127	31302
14	2319	31702
15	2404	30658
16	2531	30225
17	2676	30032
18	2819	29828
19	2897	28972
20	3079	29186
21	3159	28431
22	3226	27637
23	3376	27571
24	3469	27063
25	3580	26715
26	3640	26022
27	3800	26058
28	3916	25794
29	4032	25536
30	4140	25245
31	4306	25299
32	4459	25268
33	4584	25082
34	4676	24716
35	4780	24433
36	4832	23903
37	4948	23699
38	5108	23708
39	5275	23739
40	5372	23453
41	5500	23310
42	5636	23200
43	5705	22820
44	5797	22544
45	5922	22403
46	6009	22120
47	6128	21959
48	6210	21672
49	6312	21463
50	6458	21402
51	6508	21026
52	6563	20682
53	6644	20426
54	6751	20255
55	6859	20087
56	6956	19893
57	7028	19630
58	7186	19611
59	7336	19563
60	7506	19566
61	7610	19394
62	7714	19226
63	7782	18969
64	7960	18982
65	8071	18832
66	8168	18653
67	8272	18491
68	8386	18352
69	8518	18253
70	8607	18062
71	8684	17851
72	8809	17740
73	8945	17649
74	9068	17532
75	9181	17395
76	9328	17324
77	9510	17314
78	9637	17201
79	9737	17041
80	9854	16911
81	9978	16793
82	10097	16667
83	10346	16750
84	10622	16870
85	10737	16730
86	10859	16601
87	10960	16441
88	11052	16268
89	11167	16131
90	11252	15950
91	11395	15853
92	11481	15678
93	11579	15521
94	11688	15380
95	11815	15262
96	11934	15133
97	12042	14992
98	12195	14905
99	12246	14696
100	12320	14516
101	12502	14464
102	12619	14334
103	12790	14266
104	12923	14154
105	13025	14008
106	13176	13915
107	13288	13780
108	13397	13643
109	13575	13575
110	13780	13532
111	13887	13391
112	14015	13271
113	14108	13118
114	14145	12915
115	14337	12853
116	14442	12714
117	14540	12568
118	14649	12433
119	14770	12309
120	14933	12217
121	15046	12086
122	15311	12074
123	15534	12026
124	15632	11880
125	15838	11815
126	15936	11670
127	16051	11537
128	16117	11369
129	16238	11241
130	16322	11089
131	16400	10933
132	16466	10771
133	16572	10636
134	16653	10485
135	16754	10348
136	16845	10205
137	17022	10114
138	17098	9963
139	17245	9854
140	17363	9728
141	17621	9679
142	17738	9551
143	17867	9429
144	18054	9338
145	18162	9205
146	18261	9068
147	18355	8929
148	18517	8823
149	18608	8683
150	18850	8613
151	18968	8485
152	19274	8440
153	19419	8322
154	19592	8216
155	19671	8070
156	19819	7953
157	19929	7820
158	20143	7728
159	20235	7588
160	20410	7479
161	20562	7361
162	20663	7225
163	20815	7107
164	20902	6967
165	21045	6846
166	21263	6748
167	21397	6623
168	21494	6486
169	21647	6366
170	21850	6261
171	21935	6121
172	22016	5981
173	22191	5866
174	22330	5742
175	22527	5631
176	22617	5494
177	22744	5366
178	22860	5236
179	22971	5104
180	23053	4967
181	23133	4830
182	23236	4698
183	23386	4575
184	23502	4446
185	23695	4331
186	23907	4218
187	24080	4098
188	24274	3981
189	24437	3858
190	24665	3745
191	25058	3654
192	25287	3537
193	25423	3407
194	25530	3273
195	25655	3141
196	25942	3028
197	26284	2920
198	26725	2820
199	26963	2696
200	27173	2568
201	27298	2432
202	27412	2295
203	27814	2181
204	28148	2059
205	28251	1920
206	28429	1785
207	28482	1643
208	28561	1503
209	28686	1366
210	28875	1231
211	29009	1094
212	29137	957
213	29243	819
214	29415	684
215	29566	547
216	29678	410
217	29762	273
218	29845	136
219	29943	0
