Signal,Noise,signal_A1,signal_A2,signal_A3
-36,-95,-41,-39,-45
-36,-95,-41,-39,-45
-36,-95,-41,-39,-45
-36,-95,-41,-39,-45
-36,-95,-41,-39,-45
-36,-95,-41,-39,-45
-36,-95,-41,-39,-45
-36,-95,-41,-39,-45
-36,-95,-41,-39,-45
-36,-95,-41,-39,-45
-38,-95,-44,-41,-47
-38,-95,-44,-41,-47
-38,-95,-44,-41,-47
-39,-95,-43,-42,-46
-39,-95,-43,-42,-46
-39,-95,-43,-42,-46
-39,-95,-43,-42,-46
-39,-95,-43,-42,-46
-39,-95,-43,-42,-46
-39,-95,-43,-42,-46
-39,-95,-43,-42,-46
-39,-95,-43,-42,-46
-39,-95,-43,-42,-46
-37,-95,-44,-40,-42
-37,-95,-44,-40,-42
