Signal,Noise,signal_A1,signal_A2,signal_A3
-37,-95,-47,-39,-42
-37,-95,-47,-39,-42
-37,-95,-47,-39,-42
-37,-95,-47,-39,-42
-37,-95,-47,-39,-42
-37,-95,-47,-39,-42
-37,-95,-47,-39,-42
-40,-95,-44,-43,-47
-40,-95,-44,-43,-47
-40,-95,-44,-43,-47
-40,-95,-44,-43,-47
-40,-95,-44,-43,-47
-40,-95,-44,-43,-47
-40,-95,-44,-43,-47
-40,-95,-44,-43,-47
-40,-95,-44,-43,-47
-40,-95,-44,-43,-47
-40,-95,-44,-43,-47
-40,-95,-44,-43,-47
-40,-95,-44,-43,-47
-41,-95,-45,-43,-53
-41,-95,-45,-43,-53
-41,-95,-45,-43,-53
-41,-95,-45,-42,-52
-41,-95,-45,-42,-52
