Signal,Noise,signal_A1,signal_A2,signal_A3
-41,-95,-45,-44,-48
-41,-95,-45,-44,-48
-41,-95,-45,-44,-48
-37,-95,-48,-39,-41
-37,-95,-48,-39,-41
-37,-95,-48,-39,-41
-37,-95,-48,-39,-41
-37,-95,-48,-39,-41
-37,-95,-48,-39,-41
-37,-95,-48,-39,-41
-37,-95,-48,-39,-41
-37,-95,-48,-39,-41
-37,-95,-48,-39,-41
-37,-95,-48,-39,-41
-37,-95,-48,-39,-41
-37,-95,-48,-39,-41
-37,-95,-48,-39,-41
-36,-95,-57,-37,-44
-36,-95,-57,-37,-44
-36,-95,-57,-37,-44
-36,-95,-57,-37,-44
-36,-95,-57,-37,-44
-36,-95,-57,-37,-44
-36,-95,-57,-37,-44
-36,-95,-57,-37,-44
