Signal,Noise,signal_A1,signal_A2,signal_A3
-45,-95,-49,-50,-50
-45,-95,-49,-50,-50
-45,-95,-49,-50,-50
-45,-95,-49,-50,-50
-45,-95,-49,-50,-50
-45,-95,-49,-50,-50
-45,-95,-49,-50,-50
-45,-95,-49,-50,-50
-45,-95,-49,-50,-50
-45,-95,-49,-50,-50
-45,-95,-49,-50,-50
-45,-95,-49,-50,-50
-45,-95,-49,-50,-50
-45,-95,-49,-50,-50
-48,-95,-53,-54,-52
-48,-95,-53,-54,-52
-48,-95,-53,-54,-52
-48,-95,-53,-54,-52
-48,-95,-53,-54,-52
-48,-95,-53,-54,-52
-48,-95,-53,-54,-52
-48,-95,-53,-54,-52
-48,-95,-53,-54,-52
-48,-95,-53,-54,-52
-48,-95,-53,-54,-52
