Signal,Noise,signal_A1,signal_A2,signal_A3
-44,-95,-49,-50,-48
-44,-95,-49,-50,-48
-44,-95,-49,-50,-48
-44,-95,-49,-50,-48
-41,-95,-48,-43,-50
-41,-95,-48,-43,-50
-41,-95,-48,-43,-50
-41,-95,-48,-43,-50
-41,-95,-48,-43,-50
-41,-95,-48,-43,-50
-41,-95,-48,-43,-50
-41,-95,-48,-43,-50
-41,-95,-48,-43,-50
-41,-95,-48,-43,-50
-41,-95,-48,-43,-50
-41,-95,-48,-43,-50
-41,-95,-48,-43,-50
-41,-95,-48,-43,-50
-41,-95,-48,-43,-50
-41,-95,-46,-44,-50
-41,-95,-46,-44,-50
-41,-95,-46,-44,-50
-41,-95,-46,-44,-50
-41,-95,-46,-44,-50
-41,-95,-46,-44,-50
