Signal,Noise,signal_A1,signal_A2,signal_A3
-35,-95,-38,-39,-44
-35,-95,-38,-39,-44
-35,-95,-38,-39,-44
-35,-95,-38,-39,-44
-35,-95,-38,-39,-44
-35,-95,-38,-39,-44
-35,-95,-38,-39,-44
-35,-95,-38,-39,-44
-35,-95,-38,-39,-44
-35,-95,-38,-39,-44
-35,-95,-38,-39,-44
-34,-95,-39,-37,-41
-34,-95,-39,-37,-41
-34,-95,-39,-37,-41
-34,-95,-39,-37,-41
-34,-95,-39,-37,-41
-34,-95,-39,-37,-41
-34,-95,-39,-37,-41
-34,-95,-39,-37,-41
-34,-95,-39,-37,-41
-34,-95,-39,-37,-41
-34,-95,-39,-37,-41
-34,-95,-39,-37,-41
-34,-95,-39,-37,-41
-34,-95,-39,-37,-41
