Signal,Noise,signal_A1,signal_A2,signal_A3
-45,-95,-50,-50,-48
-45,-95,-50,-50,-48
-45,-95,-50,-50,-48
-45,-95,-50,-50,-48
-45,-95,-50,-50,-48
-45,-95,-50,-50,-48
-45,-95,-50,-50,-48
-45,-95,-50,-50,-48
-45,-95,-50,-50,-48
-45,-95,-50,-50,-48
-45,-95,-50,-50,-48
-45,-95,-50,-50,-48
-45,-95,-50,-50,-48
-45,-95,-50,-50,-48
-45,-95,-50,-50,-48
-45,-95,-50,-50,-48
-45,-95,-50,-50,-48
-45,-95,-50,-50,-48
-45,-95,-50,-50,-48
-41,-95,-50,-43,-52
-41,-95,-50,-43,-52
-41,-95,-50,-43,-52
-41,-95,-50,-43,-52
-41,-95,-50,-43,-52
-41,-95,-50,-43,-52
