Signal,Noise,signal_A1,signal_A2,signal_A3
-40,-95,-49,-42,-49
-40,-95,-49,-42,-49
-40,-95,-49,-42,-49
-40,-95,-49,-42,-49
-40,-95,-49,-42,-49
-40,-95,-49,-42,-49
-40,-95,-49,-42,-49
-40,-95,-49,-42,-49
-40,-95,-49,-42,-49
-40,-95,-49,-42,-49
-40,-95,-49,-42,-49
-40,-95,-49,-42,-49
-42,-95,-50,-43,-50
-42,-95,-50,-43,-50
-42,-95,-50,-43,-50
-42,-95,-50,-43,-50
-42,-95,-50,-43,-50
-42,-95,-50,-43,-50
-42,-95,-50,-43,-50
-42,-95,-50,-43,-50
-42,-95,-50,-43,-50
-42,-95,-50,-43,-50
-42,-95,-50,-43,-50
-42,-95,-50,-43,-50
-42,-95,-50,-43,-50
