Signal,Noise,signal_A1,signal_A2,signal_A3
-32,-95,-38,-39,-34
-32,-95,-38,-39,-34
-32,-95,-38,-39,-34
-32,-95,-38,-39,-34
-32,-95,-38,-39,-34
-32,-95,-38,-39,-34
-32,-95,-38,-39,-34
-32,-95,-38,-39,-34
-32,-95,-38,-39,-34
-32,-95,-38,-39,-34
-32,-95,-38,-39,-34
-32,-95,-38,-39,-34
-32,-95,-38,-39,-34
-35,-95,-37,-39,-48
-35,-95,-37,-39,-48
-35,-95,-37,-39,-48
-35,-95,-37,-39,-48
-35,-95,-37,-39,-48
-35,-95,-37,-39,-48
-35,-95,-37,-39,-48
-35,-95,-37,-39,-48
-35,-95,-37,-39,-48
-35,-95,-37,-39,-48
-35,-95,-37,-39,-48
-35,-95,-37,-39,-48
