Signal,Noise,signal_A1,signal_A2,signal_A3
-42,-95,-50,-45,-46
-42,-95,-50,-45,-46
-42,-95,-50,-45,-46
-42,-95,-50,-45,-46
-42,-95,-50,-45,-46
-42,-95,-50,-45,-46
-42,-95,-50,-45,-46
-42,-95,-50,-45,-46
-42,-95,-50,-45,-46
-42,-95,-50,-45,-46
-42,-95,-50,-45,-46
-42,-95,-50,-45,-46
-42,-95,-50,-45,-46
-42,-95,-50,-45,-46
-42,-95,-50,-45,-46
-39,-95,-41,-43,-50
-39,-95,-41,-43,-50
-39,-95,-41,-43,-50
-39,-95,-41,-43,-50
-39,-95,-41,-43,-50
-39,-95,-41,-43,-50
-39,-95,-41,-43,-50
-39,-95,-41,-43,-50
-39,-95,-41,-43,-50
-39,-95,-41,-43,-50
