Signal,Noise,signal_A1,signal_A2,signal_A3
-36,-95,-40,-41,-42
-36,-95,-40,-41,-42
-36,-95,-40,-41,-42
-33,-95,-34,-44,-38
-33,-95,-34,-44,-38
-33,-95,-34,-44,-38
-33,-95,-34,-44,-38
-33,-95,-34,-44,-38
-33,-95,-34,-44,-38
-33,-95,-34,-44,-38
-33,-95,-34,-44,-38
-33,-95,-34,-44,-38
-33,-95,-34,-44,-38
-33,-95,-34,-44,-38
-43,-95,-46,-52,-48
-43,-95,-46,-52,-48
-43,-95,-46,-52,-48
-43,-95,-46,-52,-48
-43,-95,-46,-52,-48
-43,-95,-46,-52,-48
-43,-95,-46,-52,-48
-43,-95,-46,-52,-48
-43,-95,-46,-52,-48
-43,-95,-46,-52,-48
-43,-95,-46,-52,-48
