Signal,Noise,signal_A1,signal_A2,signal_A3
-38,-95,-39,-44,-48
-38,-95,-39,-44,-48
-38,-95,-39,-44,-48
-38,-95,-39,-44,-48
-38,-95,-39,-44,-48
-38,-95,-39,-44,-48
-38,-95,-39,-44,-48
-38,-95,-39,-44,-48
-38,-95,-39,-44,-48
-38,-95,-39,-44,-48
-38,-95,-39,-44,-48
-34,-95,-36,-38,-48
-34,-95,-36,-38,-48
-34,-95,-36,-38,-48
-34,-95,-36,-38,-48
-34,-95,-36,-38,-48
-34,-95,-36,-38,-48
-34,-95,-36,-38,-48
-34,-95,-36,-38,-48
-34,-95,-36,-38,-48
-34,-95,-36,-38,-48
-34,-95,-36,-38,-48
-34,-95,-36,-38,-48
-34,-95,-36,-38,-48
-34,-95,-37,-37,-48
