Signal,Noise,signal_A1,signal_A2,signal_A3
-30,-95,-33,-33,-41
-30,-95,-33,-33,-41
-30,-95,-33,-33,-41
-30,-95,-33,-33,-41
-30,-95,-33,-33,-41
-30,-95,-33,-33,-41
-30,-95,-33,-33,-41
-30,-95,-33,-33,-41
-30,-95,-33,-33,-41
-30,-95,-33,-33,-41
-31,-95,-34,-34,-41
-31,-95,-34,-34,-41
-31,-95,-34,-34,-41
-31,-95,-34,-34,-41
-31,-95,-34,-34,-41
-31,-95,-34,-34,-41
-31,-95,-34,-34,-41
-31,-95,-34,-34,-41
-31,-95,-34,-34,-41
-31,-95,-34,-34,-41
-31,-95,-34,-34,-41
-31,-95,-34,-34,-41
-31,-95,-34,-34,-41
-32,-95,-35,-36,-42
-32,-95,-35,-36,-42
