Signal,Noise,signal_A1,signal_A2,signal_A3
-43,-95,-51,-50,-45
-43,-95,-51,-50,-45
-43,-95,-51,-50,-45
-43,-95,-51,-50,-45
-43,-95,-51,-50,-45
-39,-95,-42,-46,-45
-39,-95,-42,-46,-45
-39,-95,-42,-46,-45
-39,-95,-42,-46,-45
-39,-95,-42,-46,-45
-39,-95,-42,-46,-45
-39,-95,-42,-46,-45
-39,-95,-42,-46,-45
-39,-95,-42,-46,-45
-39,-95,-42,-46,-45
-39,-95,-42,-46,-45
-39,-95,-42,-46,-45
-39,-95,-42,-46,-45
-41,-95,-43,-49,-46
-41,-95,-43,-49,-46
-41,-95,-43,-49,-46
-41,-95,-43,-49,-46
-41,-95,-43,-49,-46
-41,-95,-43,-49,-46
-41,-95,-43,-49,-46
