Signal,Noise,signal_A1,signal_A2,signal_A3
-35,-95,-41,-39,-41
-35,-95,-41,-39,-41
-35,-95,-41,-39,-41
-35,-95,-41,-39,-41
-35,-95,-41,-39,-41
-35,-95,-41,-39,-41
-35,-95,-41,-39,-41
-35,-95,-41,-39,-41
-35,-95,-41,-39,-41
-35,-95,-41,-39,-41
-35,-95,-41,-39,-41
-35,-95,-41,-39,-41
-35,-95,-41,-39,-41
-35,-95,-41,-39,-41
-35,-95,-41,-39,-41
-35,-95,-41,-39,-41
-29,-95,-37,-30,-41
-29,-95,-37,-30,-41
-29,-95,-37,-30,-41
-29,-95,-37,-30,-41
-29,-95,-37,-30,-41
-29,-95,-37,-30,-41
-29,-95,-37,-30,-41
-31,-95,-37,-32,-42
-31,-95,-37,-32,-42
