Signal,Noise,signal_A1,signal_A2,signal_A3
-38,-95,-60,-40,-43
-38,-95,-60,-40,-43
-38,-95,-60,-40,-43
-38,-95,-60,-40,-43
-38,-95,-60,-40,-43
-38,-95,-60,-40,-43
-38,-95,-60,-40,-43
-38,-95,-60,-40,-43
-38,-95,-60,-40,-43
-38,-95,-60,-40,-43
-38,-95,-60,-40,-43
-38,-95,-60,-40,-43
-38,-95,-60,-40,-43
-41,-95,-59,-43,-45
-41,-95,-59,-43,-45
-41,-95,-59,-43,-45
-41,-95,-59,-43,-45
-41,-95,-59,-43,-45
-41,-95,-59,-43,-45
-41,-95,-59,-43,-45
-41,-95,-59,-43,-45
-41,-95,-59,-43,-45
-41,-95,-59,-43,-45
-41,-95,-59,-43,-45
-41,-95,-59,-43,-45
