Signal,Noise,signal_A1,signal_A2,signal_A3
-37,-95,-40,-40,-47
-37,-95,-40,-40,-47
-37,-95,-40,-40,-47
-37,-95,-40,-40,-47
-37,-95,-40,-40,-47
-37,-95,-40,-40,-47
-37,-95,-40,-40,-47
-37,-95,-40,-40,-47
-37,-95,-40,-40,-47
-36,-95,-40,-38,-46
-36,-95,-40,-38,-46
-36,-95,-40,-38,-46
-36,-95,-40,-38,-46
-36,-95,-40,-38,-46
-36,-95,-40,-38,-46
-36,-95,-40,-38,-46
-36,-95,-40,-38,-46
-36,-95,-40,-38,-46
-36,-95,-40,-38,-46
-36,-95,-40,-38,-46
-36,-95,-40,-38,-46
-36,-95,-40,-38,-46
-36,-95,-40,-38,-46
-36,-95,-42,-37,-47
-36,-95,-42,-37,-47
