Signal,Noise,signal_A1,signal_A2,signal_A3
-37,-95,-43,-39,-47
-37,-95,-43,-39,-47
-37,-95,-43,-39,-47
-37,-95,-43,-39,-47
-37,-95,-43,-39,-47
-37,-95,-43,-39,-47
-37,-95,-43,-39,-47
-41,-95,-47,-43,-51
-41,-95,-47,-43,-51
-41,-95,-47,-43,-51
-41,-95,-47,-43,-51
-41,-95,-47,-43,-51
-41,-95,-47,-43,-51
-41,-95,-47,-43,-51
-41,-95,-47,-43,-51
-41,-95,-47,-43,-51
-41,-95,-47,-43,-51
-41,-95,-47,-43,-51
-41,-95,-47,-43,-51
-41,-95,-47,-43,-51
-41,-95,-47,-43,-51
-43,-95,-50,-45,-51
-43,-95,-50,-45,-51
-43,-95,-50,-45,-51
-43,-95,-50,-45,-51
