Signal,Noise,signal_A1,signal_A2,signal_A3
-35,-95,-37,-43,-41
-35,-95,-37,-43,-41
-35,-95,-37,-43,-41
-35,-95,-37,-43,-41
-35,-95,-37,-43,-41
-35,-95,-37,-43,-41
-35,-95,-37,-43,-41
-35,-95,-37,-43,-41
-35,-95,-37,-43,-41
-35,-95,-37,-43,-41
-35,-95,-37,-43,-41
-35,-95,-37,-43,-41
-35,-95,-37,-43,-41
-35,-95,-37,-43,-41
-34,-95,-36,-42,-41
-34,-95,-36,-42,-41
-34,-95,-36,-42,-41
-34,-95,-36,-42,-41
-34,-95,-36,-42,-41
-34,-95,-36,-42,-41
-34,-95,-36,-42,-41
-34,-95,-36,-42,-41
-35,-95,-37,-42,-41
-35,-95,-37,-42,-41
-34,-95,-37,-42,-41
