Signal,Noise,signal_A1,signal_A2,signal_A3
-34,-95,-44,-34,-45
-34,-95,-44,-34,-45
-34,-95,-44,-34,-45
-34,-95,-44,-34,-45
-34,-95,-44,-34,-45
-34,-95,-44,-34,-45
-34,-95,-44,-34,-45
-34,-95,-44,-34,-45
-34,-95,-44,-34,-45
-34,-95,-44,-34,-45
-34,-95,-44,-34,-45
-34,-95,-44,-34,-45
-34,-95,-44,-34,-45
-34,-95,-42,-35,-42
-34,-95,-42,-35,-42
-34,-95,-42,-35,-42
-34,-95,-42,-35,-42
-34,-95,-42,-35,-42
-34,-95,-42,-35,-42
-34,-95,-42,-35,-42
-34,-95,-42,-35,-42
-34,-95,-42,-35,-42
-34,-95,-42,-35,-42
-34,-95,-42,-35,-42
-34,-95,-42,-35,-42
