Signal,Noise,signal_A1,signal_A2,signal_A3
-34,-95,-36,-42,-45
-34,-95,-36,-42,-45
-32,-95,-34,-38,-42
-32,-95,-34,-38,-42
-32,-95,-34,-38,-42
-32,-95,-34,-38,-42
-32,-95,-34,-38,-42
-32,-95,-34,-38,-42
-33,-95,-35,-38,-44
-33,-95,-35,-38,-44
-33,-95,-35,-38,-44
-33,-95,-35,-38,-44
-33,-95,-35,-38,-44
-33,-95,-35,-38,-44
-33,-95,-35,-38,-44
-33,-95,-35,-36,-43
-33,-95,-35,-36,-43
-33,-95,-35,-36,-43
-33,-95,-35,-38,-43
-33,-95,-35,-38,-43
-33,-95,-35,-38,-43
-33,-95,-35,-38,-43
-33,-95,-35,-38,-43
-33,-95,-35,-38,-43
-33,-95,-35,-38,-43
