Signal,Noise,signal_A1,signal_A2,signal_A3
-35,-95,-38,-41,-41
-35,-95,-38,-41,-41
-35,-95,-38,-41,-41
-35,-95,-38,-41,-41
-35,-95,-38,-41,-41
-35,-95,-38,-41,-41
-35,-95,-38,-41,-41
-35,-95,-38,-41,-41
-35,-95,-38,-41,-41
-35,-95,-39,-40,-41
-35,-95,-39,-40,-41
-35,-95,-39,-40,-41
-35,-95,-39,-40,-41
-35,-95,-39,-40,-41
-35,-95,-39,-40,-41
-35,-95,-39,-40,-41
-35,-95,-39,-40,-41
-35,-95,-39,-40,-41
-35,-95,-39,-40,-41
-35,-95,-39,-40,-41
-35,-95,-39,-41,-41
-35,-95,-39,-41,-41
-35,-95,-39,-41,-41
-35,-95,-39,-41,-41
-35,-95,-39,-41,-41
