Signal,Noise,signal_A1,signal_A2,signal_A3
-28,-95,-32,-31,-41
-28,-95,-32,-31,-41
-28,-95,-32,-31,-41
-28,-95,-32,-31,-41
-28,-95,-32,-31,-41
-28,-95,-32,-31,-41
-28,-95,-32,-31,-41
-28,-95,-32,-31,-41
-28,-95,-32,-31,-41
-27,-95,-29,-30,-41
-27,-95,-29,-30,-41
-27,-95,-29,-30,-41
-27,-95,-29,-30,-41
-27,-95,-29,-30,-41
-27,-95,-29,-30,-41
-27,-95,-29,-30,-41
-27,-95,-29,-30,-41
-27,-95,-29,-30,-41
-27,-95,-29,-30,-41
-27,-95,-29,-30,-41
-27,-95,-29,-30,-41
-27,-95,-29,-30,-41
-27,-95,-30,-29,-41
-27,-95,-30,-29,-41
-27,-95,-30,-29,-41
