Signal,Noise,signal_A1,signal_A2,signal_A3
-42,-95,-48,-48,-46
-33,-95,-35,-49,-37
-33,-95,-35,-49,-37
-33,-95,-35,-49,-37
-33,-95,-35,-49,-37
-33,-95,-35,-49,-37
-33,-95,-35,-49,-37
-33,-95,-35,-49,-37
-33,-95,-35,-49,-37
-33,-95,-35,-45,-37
-33,-95,-35,-45,-37
-33,-95,-35,-45,-37
-33,-95,-35,-45,-37
-33,-95,-35,-45,-37
-33,-95,-35,-45,-37
-33,-95,-35,-45,-37
-33,-95,-35,-45,-37
-33,-95,-35,-45,-37
-33,-95,-35,-45,-37
-33,-95,-35,-45,-37
-33,-95,-35,-45,-37
-33,-95,-35,-45,-37
-26,-95,-26,-44,-39
-25,-95,-25,-44,-37
-25,-95,-25,-44,-37
