Signal,Noise,signal_A1,signal_A2,signal_A3
-25,-95,-42,-25,-35
-25,-95,-42,-25,-35
-25,-95,-42,-25,-35
-25,-95,-42,-25,-35
-25,-95,-42,-25,-35
-25,-95,-42,-25,-35
-25,-95,-42,-25,-35
-25,-95,-42,-25,-35
-25,-95,-42,-25,-35
-25,-95,-42,-25,-35
-31,-95,-45,-31,-41
-31,-95,-45,-31,-41
-31,-95,-45,-31,-41
-31,-95,-45,-31,-41
-31,-95,-45,-31,-41
-31,-95,-45,-31,-41
-31,-95,-45,-31,-41
-31,-95,-45,-31,-41
-31,-95,-45,-31,-41
-31,-95,-45,-31,-41
-31,-95,-45,-32,-41
-31,-95,-45,-32,-41
-31,-95,-45,-32,-41
-31,-95,-45,-32,-41
-31,-95,-45,-32,-41
