Signal,Noise,signal_A1,signal_A2,signal_A3
-46,-95,-53,-48,-54
-46,-95,-53,-48,-54
-46,-95,-53,-48,-54
-35,-95,-44,-41,-38
-35,-95,-44,-41,-38
-35,-95,-44,-41,-38
-35,-95,-44,-41,-38
-35,-95,-44,-41,-38
-35,-95,-44,-41,-38
-35,-95,-44,-41,-38
-35,-95,-44,-41,-38
-35,-95,-44,-41,-38
-35,-95,-44,-41,-38
-35,-95,-44,-41,-38
-35,-95,-44,-41,-38
-35,-95,-44,-41,-38
-36,-95,-43,-43,-38
-36,-95,-43,-43,-38
-36,-95,-43,-43,-38
-36,-95,-43,-43,-38
-36,-95,-43,-43,-38
-36,-95,-43,-43,-38
-36,-95,-43,-43,-38
-36,-95,-43,-43,-38
-36,-95,-43,-43,-38
