Signal,Noise,signal_A1,signal_A2,signal_A3
-41,-95,-48,-46,-45
-41,-95,-48,-46,-45
-41,-95,-48,-46,-45
-41,-95,-48,-46,-45
-41,-95,-48,-46,-45
-41,-95,-48,-46,-45
-41,-95,-48,-46,-45
-41,-95,-52,-45,-43
-41,-95,-52,-45,-43
-41,-95,-52,-45,-43
-41,-95,-52,-45,-43
-41,-95,-52,-45,-43
-41,-95,-52,-45,-43
-41,-95,-52,-45,-43
-41,-95,-52,-45,-43
-41,-95,-52,-45,-43
-41,-95,-52,-45,-43
-41,-95,-52,-45,-43
-41,-95,-52,-45,-43
-40,-95,-49,-45,-43
-40,-95,-49,-45,-43
-40,-95,-49,-45,-43
-40,-95,-49,-45,-43
-40,-95,-49,-45,-43
-40,-95,-49,-45,-43
