Signal,Noise,signal_A1,signal_A2,signal_A3
-38,-95,-43,-41,-45
-38,-95,-43,-41,-45
-38,-95,-43,-41,-45
-38,-95,-43,-41,-45
-38,-95,-43,-41,-45
-38,-95,-43,-41,-45
-38,-95,-43,-41,-45
-38,-95,-43,-41,-45
-38,-95,-43,-41,-45
-38,-95,-43,-41,-45
-38,-95,-42,-43,-43
-38,-95,-42,-43,-43
-38,-95,-42,-43,-43
-38,-95,-42,-43,-43
-38,-95,-42,-43,-43
-38,-95,-42,-43,-43
-38,-95,-42,-43,-43
-38,-95,-42,-43,-43
-38,-95,-42,-43,-43
-38,-95,-42,-43,-43
-38,-95,-42,-43,-43
-38,-95,-42,-43,-43
-38,-95,-42,-43,-43
-38,-95,-42,-43,-43
-38,-95,-42,-43,-43
