Signal,Noise,signal_A1,signal_A2,signal_A3
-40,-95,-49,-42,-47
-40,-95,-49,-42,-47
-33,-95,-43,-34,-42
-40,-95,-50,-41,-50
-40,-95,-50,-41,-50
-40,-95,-50,-41,-50
-40,-95,-50,-41,-50
-40,-95,-50,-41,-50
-40,-95,-50,-41,-50
-40,-95,-50,-41,-50
-40,-95,-50,-41,-50
-40,-95,-50,-41,-50
-40,-95,-50,-41,-50
-40,-95,-50,-41,-50
-40,-95,-50,-41,-50
-40,-95,-50,-41,-50
-40,-95,-50,-41,-50
-41,-95,-49,-43,-48
-41,-95,-49,-43,-48
-41,-95,-49,-43,-48
-41,-95,-49,-43,-48
-41,-95,-49,-43,-48
-41,-95,-49,-43,-48
-41,-95,-49,-43,-48
-41,-95,-49,-43,-48
