Signal,Noise,signal_A1,signal_A2,signal_A3
-39,-95,-42,-44,-47
-39,-95,-42,-44,-47
-39,-95,-42,-44,-47
-39,-95,-42,-44,-47
-38,-95,-43,-40,-49
-38,-95,-43,-40,-49
-38,-95,-43,-40,-49
-38,-95,-43,-40,-49
-38,-95,-43,-40,-49
-38,-95,-43,-40,-49
-38,-95,-43,-40,-49
-38,-95,-43,-40,-49
-38,-95,-43,-40,-49
-38,-95,-43,-40,-49
-38,-95,-43,-40,-49
-38,-95,-43,-40,-49
-38,-95,-43,-40,-49
-39,-95,-43,-43,-47
-39,-95,-43,-43,-47
-39,-95,-43,-43,-47
-39,-95,-43,-43,-47
-39,-95,-43,-43,-47
-39,-95,-43,-43,-47
-39,-95,-43,-43,-47
-39,-95,-43,-43,-47
