Signal,Noise,signal_A1,signal_A2,signal_A3
-34,-95,-41,-37,-38
-34,-95,-41,-37,-38
-34,-95,-41,-37,-38
-34,-95,-41,-37,-38
-34,-95,-41,-37,-38
-34,-95,-41,-37,-38
-34,-95,-41,-37,-38
-34,-95,-41,-37,-38
-34,-95,-41,-37,-38
-37,-95,-46,-39,-42
-37,-95,-46,-39,-42
-37,-95,-46,-39,-42
-37,-95,-46,-39,-42
-36,-95,-46,-39,-40
-36,-95,-46,-39,-40
-36,-95,-46,-39,-40
-36,-95,-46,-39,-40
-36,-95,-46,-39,-40
-36,-95,-46,-39,-40
-36,-95,-46,-39,-40
-36,-95,-46,-39,-40
-36,-95,-46,-39,-40
-36,-95,-46,-39,-40
-36,-95,-46,-39,-40
-37,-95,-46,-41,-41
