Signal,Noise,signal_A1,signal_A2,signal_A3
-37,-95,-40,-41,-48
-37,-95,-40,-41,-48
-37,-95,-40,-41,-48
-37,-95,-40,-41,-48
-37,-95,-40,-41,-48
-37,-95,-40,-41,-48
-37,-95,-40,-41,-48
-37,-95,-40,-41,-48
-37,-95,-40,-41,-48
-37,-95,-40,-41,-48
-37,-95,-40,-41,-48
-37,-95,-40,-41,-48
-37,-95,-40,-41,-48
-37,-95,-40,-41,-48
-40,-95,-43,-43,-51
-40,-95,-43,-43,-51
-40,-95,-43,-43,-51
-40,-95,-43,-43,-51
-40,-95,-43,-43,-51
-40,-95,-43,-43,-51
-40,-95,-43,-43,-51
-40,-95,-43,-43,-51
-40,-95,-43,-43,-51
-40,-95,-43,-43,-51
-40,-95,-43,-43,-51
