Signal,Noise,signal_A1,signal_A2,signal_A3
-42,-95,-46,-45,-50
-42,-95,-46,-45,-50
-42,-95,-46,-45,-50
-42,-95,-46,-45,-50
-42,-95,-46,-45,-50
-42,-95,-46,-45,-50
-42,-95,-46,-45,-50
-42,-95,-46,-45,-50
-39,-95,-47,-41,-46
-39,-95,-47,-41,-46
-39,-95,-47,-41,-46
-39,-95,-47,-41,-46
-39,-95,-47,-41,-46
-39,-95,-47,-41,-46
-39,-95,-47,-41,-46
-39,-95,-47,-41,-46
-39,-95,-47,-41,-46
-39,-95,-47,-41,-46
-39,-95,-47,-41,-46
-39,-95,-47,-41,-46
-39,-95,-47,-41,-46
-39,-95,-47,-41,-46
-39,-95,-47,-41,-46
-38,-95,-44,-42,-45
-38,-95,-44,-42,-45
