Signal,Noise,signal_A1,signal_A2,signal_A3
-29,-95,-31,-34,-39
-29,-95,-31,-34,-39
-29,-95,-31,-34,-39
-29,-95,-31,-34,-39
-29,-95,-31,-34,-39
-29,-95,-31,-34,-39
-29,-95,-31,-34,-39
-30,-95,-32,-36,-40
-30,-95,-32,-36,-40
-30,-95,-32,-36,-40
-30,-95,-32,-36,-40
-30,-95,-32,-36,-40
-30,-95,-32,-36,-40
-30,-95,-32,-36,-40
-30,-95,-32,-36,-40
-30,-95,-32,-36,-40
-30,-95,-32,-36,-40
-30,-95,-32,-36,-40
-30,-95,-32,-36,-40
-30,-95,-32,-36,-40
-30,-95,-32,-36,-40
-30,-95,-32,-36,-40
-30,-95,-32,-36,-40
-30,-95,-32,-36,-39
-30,-95,-32,-36,-39
