Signal,Noise,signal_A1,signal_A2,signal_A3
-29,-95,-43,-30,-37
-29,-95,-43,-30,-37
-29,-95,-43,-30,-37
-29,-95,-43,-30,-37
-38,-95,-45,-40,-45
-38,-95,-45,-40,-45
-38,-95,-45,-40,-45
-38,-95,-45,-40,-45
-38,-95,-45,-40,-45
-38,-95,-45,-40,-45
-38,-95,-45,-40,-45
-38,-95,-45,-40,-45
-38,-95,-45,-40,-45
-38,-95,-45,-40,-45
-38,-95,-45,-40,-45
-34,-95,-43,-38,-37
-34,-95,-43,-38,-37
-34,-95,-43,-38,-37
-34,-95,-43,-38,-37
-34,-95,-43,-38,-37
-34,-95,-43,-38,-37
-34,-95,-43,-38,-37
-34,-95,-43,-38,-37
-34,-95,-43,-38,-37
-34,-95,-43,-38,-37
